symbol,price,date
TFUELBNB,0.0001259,2022-04-05 20:16:56
TFUELBTC,4.31e-06,2022-04-05 20:16:56
TFUELUSDT,0.1975,2022-04-05 20:16:56
TFUELUSDC,0.003565,2022-04-05 20:16:56
TFUELTUSD,0.003077,2022-04-05 20:16:56
TFUELPAX,0.003487,2022-04-05 20:16:56
ONEBNB,0.0003484,2022-04-05 20:16:56
ONEBTC,3.41e-06,2022-04-05 20:16:56
ONEUSDT,0.15645,2022-04-05 20:16:56
ONETUSD,0.00472,2022-04-05 20:16:56
ONEPAX,0.00496,2022-04-05 20:16:56
ONEUSDC,0.0052,2022-04-05 20:16:56
FTMBNB,0.0032837,2022-04-05 20:16:56
FTMBTC,3.213e-05,2022-04-05 20:16:56
FTMUSDT,1.4736,2022-04-05 20:16:56
FTMTUSD,0.01095,2022-04-05 20:16:56
FTMPAX,0.01028,2022-04-05 20:16:56
FTMUSDC,0.01107,2022-04-05 20:16:56
BTCBBTC,1.0,2022-04-05 20:16:56
BCPTTUSD,0.02606,2022-04-05 20:16:56
BCPTPAX,0.02761,2022-04-05 20:16:56
BCPTUSDC,0.02728,2022-04-05 20:16:56
ALGOBNB,0.001886,2022-04-05 20:16:56
ALGOBTC,1.846e-05,2022-04-05 20:16:56
ALGOUSDT,0.8472,2022-04-05 20:16:56
